"CommuteDays","MilesOneWay","Bus"
5,17.37476399,"Yes"
3,17.37476399,"No"
5,17.37476399,"No"
5,17.37476399,"No"
5,15.01405299,"No"
4,17.37476399,"No"
4,17.37476399,"No"
5,15.01405299,"No"
5,17.37476399,"No"
5,17.37476399,"No"
5,17.37476399,"No"
5,15.01405299,"No"
5,15.01405299,"No"
5,17.37476399,"No"
5,17.37476399,"Yes"
5,15.01405299,"No"
5,17.37476399,"No"
5,15.01405299,"No"
5,15.01405299,"No"
5,17.37476399,"No"
5,17.37476399,"No"
3,15.01405299,"No"
5,17.37476399,"Yes"
5,15.01405299,"No"
5,15.01405299,"No"
5,15.01405299,"No"
5,15.01405299,"No"
5,15.01405299,"No"
5,15.01405299,"No"
5,15.01405299,"No"
5,17.37476399,"No"
5,15.01405299,"No"
5,15.01405299,"No"
5,15.01405299,"No"
5,15.01405299,"No"
4,15.01405299,"No"
5,17.37476399,"No"
5,17.37476399,"No"
5,17.37476399,"No"
5,17.37476399,"No"
6,17.37476399,"No"
5,17.37476399,"No"
5,17.37476399,"No"
3,15.01405299,"No"
5,15.01405299,"No"
5,15.01405299,"No"
5,15.01405299,"No"
5,15.01405299,"Yes"
5,15.01405299,"Yes"
5,15.01405299,"No"
5,15.01405299,"No"
5,15.01405299,"No"
5,17.37476399,"No"
5,17.37476399,"No"
5,15.01405299,"No"
5,15.01405299,"No"
5,15.01405299,"No"
5,15.01405299,"No"
3,17.37476399,"No"
5,17.37476399,"No"
5,15.01405299,"No"
5,15.01405299,"No"
4,17.37476399,"No"
5,17.37476399,"No"
5,15.01405299,"No"
5,15.01405299,"No"
6,17.37476399,"No"
4,17.37476399,"No"
5,15.01405299,"No"
5,15.01405299,"No"
3,17.37476399,"No"
5,15.01405299,"No"
4,17.37476399,"Yes"
