WPRDC_ID,HomeZipCode,Destination,Other,MilesOneWay,CommuteDays,PrimaryMode,PrimaryModePercentCommute,PrimaryModeNumberTrips,SecondaryMode,SecondaryModePercentCommute,SecondaryModeNumberTrips,TertiaryMode,TertiaryModePercentCommute,TertiaryModeNumberTrips
8020,15219,Oakland,,1.587772054,2,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,4,I only commute by one method,0,0,,0,0
8131,15219,Oakland,,1.587772054,6,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,12,I only commute by one method,0,0,I do not use a third transportation method,0,0
8160,15219,Oakland,,1.587772054,6,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,12,I only commute by one method,0,0,I do not use a third transportation method,0,0
8283,15219,Downtown (includes Golden Triangle & Lower Hill),,1.026367277,7,Bus,100,14,I only commute by one method,0,0,I do not use a third transportation method,0,0
8286,15219,Downtown (includes Golden Triangle & Lower Hill),,1.026367277,7,Bus,75,11,Dropped Off,25,4,I do not use a third transportation method,0,0
8346,15219,Other (please specify),Hill District,,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
8369,15219,Other (please specify),East Liberty ,,3,Dropped off / Picked up,100,6,I only commute by one method,0,0,I do not use a third transportation method,0,0
8528,15219,Downtown (includes Golden Triangle & Lower Hill),,1.026367277,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",70,7,Walk,30,3,I do not use a third transportation method,0,0
9005,15219,Oakland,,1.587772054,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",60,6,Walk,20,2,Carpool,20,2
9308,15219,Oakland,,1.587772054,5,Bus,70,7,Bike,30,3,I do not use a third transportation method,0,0
9415,15219,Oakland,,1.587772054,6,Bus,70,8.4,Drive Alone,30,3.6,I do not use a third transportation method,0,0
9539,15219,Oakland,,1.587772054,3,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",70,4.2,Bus,10,0.6,Bike,20,1.2
9646,15219,Oakland,,1.587772054,4,Bus,90,7.2,Walk,10,0.8,I do not use a third transportation method,0,0
9924,15219,Other (please specify),Cranberry,,4,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,8,I only commute by one method,0,0,I do not use a third transportation method,0,0
9992,15219,Oakland,,1.587772054,3,Bus,100,6,I only commute by one method,0,0,,0,0
10034,15219,Uptown / Bluff,,1.026367277,4,Bus,100,8,I only commute by one method,0,0,I do not use a third transportation method,0,0
10326,15219,Other (please specify),West End,,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
10333,15219,Downtown (includes Golden Triangle & Lower Hill),,1.026367277,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
10485,15219,Other (please specify),Squirrel Hill,,5,Bus,90,9,Bike,10,1,I do not use a third transportation method,0,0
10576,15219,Uptown / Bluff,,1.026367277,5,Walk,50,5,Carpool,20,2,Bus,30,3
10761,15219,North Shore,,,7,Bus,100,14,I only commute by one method,0,0,I do not use a third transportation method,0,0
10765,15219,Uptown / Bluff,,1.026367277,5,Walk,100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
